UDI,Air_Temperature_K,Process_Temperature_K,Rotational_Speed_RPM,Torque_Nm,Tool_Wear_min,Pressure_bar,Vibration_mm_s,Machine_Failure,Failure_Type
371,295.96,310.05,1988.5,28.31,65,4.65,0.62,0,No Failure
372,295.17,306.24,1373.6,72.98,197,4.85,3.95,1,Power Failure
373,295.9,308.43,1235.3,67.24,124,4.64,7.63,0,No Failure
374,301.49,315.69,1870.4,66.38,111,4.15,4.02,1,Power Failure
375,295.68,309.34,1990.6,38.45,75,5.45,6.36,0,No Failure
376,298.03,310.74,1500.9,67.18,139,3.73,1.16,1,Power Failure
377,303.03,315.98,1752.9,75.63,175,6.64,0.85,1,Overstrain Failure
378,295.22,307.76,1835.4,59.49,99,5.57,1.92,0,No Failure
379,302.74,314.23,1314.4,68.48,151,6.01,5.32,1,Power Failure
380,297.68,310.5,1378.7,64.51,168,4.94,3.77,1,Power Failure
381,296.12,309.57,1807.7,40.14,171,5.06,3.97,0,No Failure
382,301.62,315.99,1921.3,67.13,12,5.85,2.79,0,No Failure
383,300.97,314.16,1640.7,53.08,206,4.1,1.95,1,Tool Wear Failure
384,303.34,317.14,1280.0,71.44,110,5.07,2.89,1,Power Failure
385,301.98,312.78,1996.8,36.43,63,4.47,2.24,0,No Failure
386,302.63,314.94,1367.3,52.86,58,4.43,1.84,0,No Failure
387,297.68,307.73,1416.2,78.03,116,2.97,3.39,1,Power Failure
388,296.69,307.92,1585.6,56.82,213,7.11,2.08,1,Tool Wear Failure
389,302.13,315.76,1888.5,68.76,91,4.68,3.11,0,No Failure
390,302.66,317.62,1713.5,56.95,180,6.9,0.5,0,No Failure
391,304.41,314.91,1603.7,41.51,23,6.78,2.92,0,No Failure
392,298.92,310.93,1615.8,68.6,114,3.96,2.06,0,No Failure
393,298.53,312.53,1510.9,55.88,238,4.19,6.59,1,Tool Wear Failure
394,302.38,313.4,1639.5,66.2,185,8.57,0.59,1,Overstrain Failure
395,298.24,311.01,1100.0,70.25,51,7.6,2.76,0,No Failure
396,303.84,317.51,1425.8,48.05,120,5.46,4.63,0,No Failure
397,303.15,316.23,1560.3,62.44,56,5.81,2.31,0,No Failure
398,299.08,310.02,1212.2,89.72,98,4.74,2.01,1,Power Failure
399,302.13,313.91,1596.6,65.0,187,6.02,4.62,1,Overstrain Failure
400,302.17,316.09,1448.9,62.45,185,4.64,3.7,1,Power Failure
401,295.98,308.75,1938.9,63.98,55,3.06,3.9,1,Power Failure
402,303.57,313.6,1893.3,56.24,221,3.91,1.84,1,Tool Wear Failure
403,299.8,313.6,1383.5,66.42,142,5.53,1.66,0,No Failure
404,302.85,313.03,1462.3,51.84,91,4.14,3.11,0,No Failure
405,298.04,311.77,1481.5,64.71,120,5.42,4.89,1,Power Failure
406,303.51,314.52,1387.1,74.61,145,4.21,0.74,1,Power Failure
407,298.7,313.49,1548.8,52.66,134,4.56,2.38,0,No Failure
408,295.1,306.94,1310.4,80.04,117,6.52,1.72,1,Power Failure
409,303.6,315.24,1217.3,66.74,121,5.8,2.6,0,No Failure
410,295.87,306.61,1655.7,50.01,42,5.49,4.33,0,No Failure
411,298.03,309.56,1657.4,68.83,195,6.55,1.26,1,Overstrain Failure
412,304.03,318.41,1298.9,63.15,130,6.08,4.0,0,No Failure
413,304.03,319.01,1723.8,65.12,31,7.24,1.89,1,Power Failure
414,300.45,312.29,1342.1,62.24,184,4.95,5.43,0,No Failure
415,301.0,313.25,1563.3,60.14,224,4.98,1.33,1,Tool Wear Failure
416,299.26,312.87,1705.1,62.83,227,3.94,4.85,1,Tool Wear Failure
417,297.79,312.22,1491.6,65.08,89,4.99,0.82,0,No Failure
418,298.12,311.09,1613.7,39.77,33,6.66,2.96,0,No Failure
419,301.39,313.35,1370.9,53.37,124,7.06,4.06,0,No Failure
420,302.15,314.21,1450.9,72.28,27,6.65,1.36,1,Power Failure
421,302.52,316.0,1448.5,61.71,224,3.35,1.77,1,Tool Wear Failure
422,302.5,312.52,1313.4,60.5,44,6.8,2.62,0,No Failure
423,295.87,308.96,1455.8,49.3,61,3.29,2.0,0,No Failure
424,299.7,311.47,1112.8,58.95,98,6.58,1.63,0,No Failure
425,295.55,309.52,1377.2,44.24,92,5.06,4.67,0,No Failure
426,300.22,310.69,1428.8,62.41,191,6.34,5.81,1,Power Failure
427,299.19,312.14,1436.0,57.3,110,3.9,5.58,0,No Failure
428,303.43,315.84,1439.6,53.54,41,6.91,3.59,0,No Failure
429,298.33,311.55,1484.6,61.63,64,3.74,3.94,0,No Failure
430,296.11,306.44,1619.9,63.24,122,4.7,1.17,1,Power Failure
431,296.36,309.26,1718.6,78.56,35,4.3,2.44,1,Power Failure
432,302.23,315.04,1337.6,50.13,147,3.39,2.79,0,No Failure
433,300.87,313.68,1199.2,79.61,136,5.61,3.2,1,Power Failure
434,295.96,308.98,1239.5,76.94,172,7.67,3.16,1,Overstrain Failure
435,295.8,309.18,1378.2,56.65,225,8.7,2.63,1,Overstrain Failure
436,301.66,315.68,1412.0,65.79,219,5.62,3.56,1,Tool Wear Failure
437,295.69,307.04,1307.5,61.27,227,6.84,3.05,1,Tool Wear Failure
438,302.81,316.93,1176.0,70.34,59,5.78,3.05,0,No Failure
439,301.71,314.2,1386.0,79.37,32,6.1,1.44,1,Power Failure
440,295.77,306.16,1545.4,67.15,73,5.09,0.94,0,No Failure
441,295.81,306.1,1648.8,64.11,215,5.73,3.21,1,Tool Wear Failure
442,304.37,316.04,1360.6,60.48,233,6.14,1.83,1,Tool Wear Failure
443,298.56,312.48,1396.8,49.22,206,4.81,1.5,0,No Failure
444,298.52,312.06,1268.3,64.55,26,5.41,4.13,0,No Failure
445,302.72,316.66,1492.1,74.22,227,5.43,2.46,1,Tool Wear Failure
446,304.0,316.59,1287.9,50.97,102,6.49,6.38,0,No Failure
447,304.37,316.57,1643.3,48.58,2,4.22,3.83,0,No Failure
448,302.16,312.89,1100.0,71.26,106,5.44,1.37,0,No Failure
449,298.57,310.22,1410.1,53.95,11,7.79,4.17,0,No Failure
450,295.79,307.96,1575.3,52.57,131,6.9,3.44,0,No Failure
451,302.38,312.83,1546.0,56.84,81,7.12,1.32,0,No Failure
452,300.3,311.41,2173.3,34.88,114,5.53,1.65,0,No Failure
453,299.03,312.02,1587.5,50.51,147,5.89,4.03,0,No Failure
454,303.61,317.29,1249.0,74.05,209,6.7,0.5,1,Tool Wear Failure
455,296.06,311.05,1476.1,49.4,159,7.37,0.5,0,No Failure
456,299.68,314.35,1100.0,54.02,104,3.16,2.92,0,No Failure
457,295.11,308.32,1479.9,56.1,197,3.92,2.77,0,No Failure
458,299.45,311.56,1291.7,73.48,217,7.07,3.12,1,Tool Wear Failure
459,295.53,308.72,1728.8,55.45,29,5.17,2.77,0,No Failure
460,296.13,310.06,1362.6,60.1,128,4.69,3.53,0,No Failure
461,296.12,306.71,1470.8,63.03,68,4.0,5.86,1,Power Failure
462,301.17,313.22,1341.1,47.72,11,4.83,2.59,0,No Failure
463,302.09,316.29,1934.7,58.25,160,3.82,0.68,1,Power Failure
464,300.54,312.46,1419.7,67.44,207,8.01,0.5,1,Tool Wear Failure
465,304.14,317.0,1958.1,48.74,39,5.47,1.96,1,Power Failure
466,298.56,311.5,1703.5,67.99,195,5.43,2.0,1,Overstrain Failure
467,297.71,308.64,1620.5,48.31,205,6.21,0.8,1,Tool Wear Failure
468,303.25,315.06,1592.2,71.44,219,6.65,0.5,1,Tool Wear Failure
469,297.12,308.8,1598.4,61.58,64,6.64,1.85,1,Power Failure
470,304.15,314.28,1100.0,66.63,217,6.79,7.6,1,Tool Wear Failure
471,295.12,305.24,1430.3,63.2,77,4.74,3.43,0,No Failure
472,304.21,318.37,1711.3,56.7,133,5.14,3.22,1,Power Failure
473,295.41,306.78,1487.8,74.45,12,6.42,2.26,1,Power Failure
474,303.47,316.06,1148.7,58.26,11,4.87,1.96,0,No Failure
475,300.01,311.51,1486.9,54.64,173,5.49,3.68,0,No Failure
476,304.43,319.14,1926.0,63.84,107,5.98,0.89,1,Power Failure
477,295.7,307.0,1811.7,49.81,62,6.44,8.92,0,No Failure
478,300.26,312.41,1484.5,71.32,46,3.37,0.96,1,Power Failure
479,304.21,318.57,1737.9,74.24,161,6.36,3.91,1,Power Failure
480,299.97,314.18,1408.4,59.81,0,5.22,1.05,0,No Failure
481,300.98,311.91,1100.0,76.81,193,6.35,2.82,1,Overstrain Failure
482,301.61,315.62,1268.9,55.09,19,6.43,4.21,0,No Failure
483,299.32,311.61,1890.7,61.73,46,7.43,0.55,0,No Failure
484,300.96,313.38,1431.5,65.36,93,7.12,1.15,0,No Failure
485,300.55,311.22,1439.2,67.95,116,7.12,1.22,1,Power Failure
486,303.56,313.96,1425.0,57.04,85,7.23,2.09,0,No Failure
487,295.43,309.07,1976.0,35.87,77,5.85,3.09,0,No Failure
488,297.67,310.15,1906.5,58.9,231,5.54,7.7,1,Power Failure
489,304.03,316.21,2054.7,30.27,154,6.55,1.64,0,No Failure
490,303.46,317.11,1460.2,59.62,6,6.38,7.38,1,Power Failure
491,299.33,313.16,1573.9,69.93,103,5.13,3.34,0,No Failure
492,300.89,311.69,1120.8,71.5,210,5.99,0.93,1,Tool Wear Failure
493,297.64,310.69,1869.2,74.1,72,5.46,2.27,0,No Failure
494,296.79,307.46,1208.1,78.09,23,4.48,0.69,1,Power Failure
495,299.41,313.16,1554.2,54.38,182,7.05,1.96,0,No Failure
496,298.36,311.64,1225.7,67.76,145,5.57,1.86,0,No Failure
497,300.54,315.33,1352.8,64.47,137,7.96,2.86,1,Power Failure
498,295.74,306.08,1290.7,50.36,13,3.55,3.92,0,No Failure
499,304.26,314.54,1348.0,55.64,34,4.83,2.41,0,No Failure
500,304.37,315.78,1365.2,59.09,149,5.54,1.03,0,No Failure
501,301.63,312.94,1362.9,44.38,50,6.86,6.36,0,No Failure
502,300.09,311.33,1708.3,58.31,121,5.98,8.03,1,Power Failure
503,297.94,312.47,1223.8,65.03,131,5.87,2.23,0,No Failure
504,302.73,313.98,1555.1,44.17,68,4.15,3.23,0,No Failure
505,301.5,312.86,1804.5,59.95,228,4.11,2.13,1,Tool Wear Failure
506,296.54,310.34,1371.7,71.72,202,5.89,2.88,1,Tool Wear Failure
507,303.65,315.9,1320.5,67.86,173,3.86,2.99,1,Overstrain Failure
508,302.81,316.7,1442.4,59.91,19,4.86,0.81,1,Power Failure
509,304.02,314.35,1794.9,62.02,25,6.1,1.99,1,Power Failure
510,301.89,314.33,1548.5,67.83,118,4.32,5.14,0,No Failure
511,300.83,311.0,1367.2,67.73,39,7.43,4.84,0,No Failure
512,298.97,309.29,1621.0,51.33,235,6.97,1.96,1,Tool Wear Failure
513,303.86,318.39,1224.4,70.28,38,3.61,3.03,1,Power Failure
514,303.23,313.92,1670.3,70.55,117,4.38,2.08,1,Power Failure
515,295.43,308.09,1602.2,53.99,87,2.76,4.03,0,No Failure
516,295.25,307.31,1423.0,84.52,153,4.56,0.54,1,Power Failure
517,298.58,310.31,1290.4,60.94,31,6.42,3.68,0,No Failure
518,302.7,317.2,1278.3,66.76,103,5.0,6.65,0,No Failure
519,304.38,314.49,1633.7,52.6,66,6.05,1.43,0,No Failure
520,296.43,309.75,1807.2,58.09,213,3.67,6.06,1,Tool Wear Failure
521,300.64,315.46,1340.7,47.76,10,6.46,3.14,0,No Failure
522,298.62,311.42,1614.6,54.25,219,4.83,2.4,1,Tool Wear Failure
523,304.21,318.9,1100.0,59.08,200,5.51,1.95,1,Overstrain Failure
524,303.0,313.26,1353.8,66.28,71,5.39,6.2,0,No Failure
525,302.96,315.06,1492.2,72.1,189,3.97,2.09,1,Power Failure
526,299.45,310.75,1272.6,73.01,7,4.12,7.32,0,No Failure
527,298.94,312.59,1265.9,42.97,232,6.66,6.77,0,No Failure
528,297.6,312.5,1333.1,85.76,126,5.98,1.73,0,No Failure
529,295.54,306.82,1573.0,63.49,73,6.76,2.21,1,Power Failure
530,303.21,316.49,1453.2,55.17,87,5.89,0.5,0,No Failure
531,302.72,313.71,1100.0,71.57,16,5.67,2.46,0,No Failure
532,304.5,317.32,1100.0,71.76,237,3.43,2.7,1,Tool Wear Failure
533,304.47,316.79,1348.3,58.37,9,5.18,5.51,0,No Failure
534,300.28,315.14,1614.4,61.69,157,5.47,7.01,1,Power Failure
535,302.31,315.35,1100.0,63.93,106,7.84,4.29,0,No Failure
536,303.98,315.72,1375.1,60.46,228,6.32,5.21,1,Tool Wear Failure
537,303.07,313.64,1368.4,57.77,59,7.34,2.21,0,No Failure
538,297.35,308.11,1847.1,40.73,128,6.22,0.86,0,No Failure
539,299.28,310.41,1403.7,65.38,116,4.65,3.14,0,No Failure
540,296.23,307.48,1595.7,65.94,169,5.64,5.45,1,Power Failure
541,304.06,318.32,1535.3,66.44,16,5.78,0.5,1,Power Failure
542,300.76,313.56,1100.0,78.2,47,4.37,2.8,1,Power Failure
543,297.17,309.79,1692.1,61.4,51,5.04,0.5,0,No Failure
544,301.38,311.96,1553.8,55.6,177,5.25,1.33,1,Power Failure
545,300.87,315.17,1627.1,67.86,45,7.43,2.88,1,Power Failure
546,298.4,312.02,2481.6,28.79,138,3.0,7.09,0,No Failure
547,296.08,306.42,1100.0,60.99,52,6.95,2.59,0,No Failure
548,301.38,314.92,1931.2,43.73,207,4.38,4.1,0,No Failure
549,299.94,312.66,1428.1,74.24,226,3.85,3.12,1,Tool Wear Failure
550,302.34,312.75,1571.8,69.99,124,6.92,1.4,1,Power Failure
551,299.94,312.23,1488.6,67.1,85,6.38,3.57,1,Power Failure
552,303.1,315.52,1393.9,74.84,56,7.01,0.84,1,Power Failure
553,300.24,311.07,1357.5,56.06,12,6.46,2.56,0,No Failure
554,300.33,315.06,1582.4,63.84,64,7.97,6.12,1,Power Failure
555,303.33,317.58,1120.7,68.33,157,6.17,2.94,0,No Failure
556,298.83,312.18,1687.6,66.72,128,5.31,3.12,0,No Failure
557,296.27,308.58,1396.0,62.93,227,5.91,1.96,1,Tool Wear Failure
558,295.27,307.33,1217.5,63.8,95,6.99,0.59,0,No Failure
559,302.17,315.43,1387.5,69.66,167,4.56,2.14,1,Power Failure
560,300.89,313.62,1814.3,64.48,117,4.72,4.67,1,Power Failure
561,301.69,312.0,1366.2,57.99,123,5.13,3.41,0,No Failure
562,297.02,309.59,1589.6,59.6,64,2.97,0.89,1,Power Failure
563,296.3,310.33,1317.3,55.07,109,5.67,0.5,0,No Failure
564,295.14,307.43,1689.5,33.23,113,3.24,1.39,0,No Failure
565,298.33,308.59,1671.4,60.58,170,5.56,2.16,0,No Failure
566,300.6,314.54,1962.2,58.85,226,6.54,2.28,1,Tool Wear Failure
567,298.73,309.73,1456.1,65.5,79,4.93,2.31,1,Power Failure
568,299.16,310.45,1667.2,39.16,10,7.51,2.57,0,No Failure
569,303.59,314.41,1524.5,58.0,119,3.75,3.49,1,Power Failure
570,298.31,309.96,1824.0,33.34,131,6.93,1.85,0,No Failure
571,299.88,313.67,1320.3,79.29,40,6.31,1.13,1,Power Failure
572,302.44,315.04,1686.3,47.41,183,3.44,3.78,0,No Failure
573,298.77,309.79,1451.3,75.53,236,8.75,4.75,1,Tool Wear Failure
574,300.91,315.3,1484.0,71.78,227,5.42,1.62,1,Tool Wear Failure
575,303.19,317.59,1522.9,52.54,47,4.45,8.96,0,No Failure
576,304.02,318.37,1563.1,49.41,210,3.81,6.84,0,No Failure
577,296.4,307.59,1470.9,66.08,169,5.24,0.95,0,No Failure
578,303.8,316.06,1553.7,52.48,109,5.35,0.5,0,No Failure
579,299.68,314.6,1894.5,55.13,130,5.62,2.24,0,No Failure
580,297.45,311.31,1746.4,52.24,204,5.14,3.13,1,Tool Wear Failure
581,299.36,309.5,1717.3,39.84,115,6.26,8.88,0,No Failure
582,304.31,314.64,1386.1,41.97,90,5.03,8.68,0,No Failure
583,299.68,312.0,1277.7,68.71,118,3.18,4.11,1,Power Failure
584,298.12,312.67,1738.8,51.61,139,5.32,1.89,1,Power Failure
585,301.02,313.71,1719.0,52.09,45,2.66,5.67,1,Power Failure
586,297.28,309.77,1868.2,61.6,216,5.92,2.81,1,Tool Wear Failure
587,295.72,306.25,1349.0,76.75,162,4.32,0.77,1,Power Failure
588,296.22,309.51,1442.6,60.42,152,5.7,0.79,1,Power Failure
589,296.22,310.33,1100.0,66.59,24,7.08,1.9,0,No Failure
590,296.44,308.35,1401.9,68.96,145,4.36,5.05,1,Power Failure
591,296.32,310.2,1749.1,43.45,29,6.77,1.03,0,No Failure
592,301.09,315.91,1383.4,66.56,19,4.98,1.89,1,Power Failure
593,296.73,307.75,1660.1,64.32,127,7.6,6.8,1,Power Failure
594,298.28,310.9,1452.4,69.75,97,5.06,3.41,1,Power Failure
595,303.52,314.96,1581.0,41.01,141,4.49,3.7,0,No Failure
596,299.5,313.47,1213.1,60.12,21,6.32,5.17,0,No Failure
597,301.34,314.23,1521.3,52.79,103,4.98,1.92,0,No Failure
598,296.64,309.81,1100.0,71.0,42,4.49,7.1,0,No Failure
599,296.83,310.82,1453.3,67.74,237,4.93,4.19,1,Tool Wear Failure
600,295.39,307.37,1100.0,84.97,135,5.45,2.34,0,No Failure
601,296.6,311.18,1801.5,51.02,165,7.11,6.23,1,Power Failure
602,297.65,310.31,1694.4,53.14,78,3.18,4.07,0,No Failure
603,296.68,307.47,1616.7,71.16,23,5.53,2.53,0,No Failure
604,295.84,309.32,1880.3,57.36,234,6.25,3.78,1,Tool Wear Failure
605,296.15,310.11,1262.8,79.42,69,5.73,1.23,1,Power Failure
606,299.38,310.96,1936.8,56.15,102,7.07,5.69,0,No Failure
607,296.96,311.25,1733.0,45.77,156,5.41,8.78,0,No Failure
608,298.46,312.99,1440.9,49.85,6,5.28,0.56,0,No Failure
609,299.78,311.17,1783.9,40.81,194,6.21,1.61,0,No Failure
610,301.56,316.48,1223.4,74.15,129,5.62,1.49,0,No Failure
611,295.37,306.08,1293.9,78.01,67,5.03,4.38,1,Power Failure
612,302.59,313.6,1347.9,83.54,15,6.12,3.01,1,Power Failure
613,300.97,311.89,1367.8,73.08,39,4.72,1.82,1,Power Failure
614,295.78,310.25,1235.9,78.91,215,4.77,2.05,1,Tool Wear Failure
615,303.3,316.57,1805.8,50.08,165,4.87,1.68,1,Power Failure
616,303.75,314.51,1435.3,51.73,60,7.12,4.0,0,No Failure
617,295.58,307.78,1588.1,68.74,16,2.0,2.98,1,Power Failure
618,297.63,310.71,1357.4,69.03,166,5.97,1.97,0,No Failure
619,302.66,313.08,1100.0,71.07,137,5.54,1.71,0,No Failure
620,302.11,316.52,1567.5,64.52,97,3.48,6.3,0,No Failure
621,296.75,310.77,1100.0,73.23,87,5.87,5.59,0,No Failure
622,296.99,309.51,1482.8,75.18,52,6.07,4.04,0,No Failure
623,298.52,313.36,1157.9,81.79,161,6.21,5.19,1,Power Failure
624,299.6,311.69,1996.8,57.51,233,2.32,0.77,1,Tool Wear Failure
625,300.87,315.79,1727.8,65.9,42,7.14,1.02,0,No Failure
626,298.5,311.84,1526.4,66.61,143,4.61,0.92,1,Power Failure
627,299.39,312.57,1815.9,51.07,102,6.32,2.59,0,No Failure
628,302.1,312.93,1288.4,73.8,107,6.39,5.31,1,Power Failure
629,295.35,309.76,1635.9,45.34,61,4.45,1.84,0,No Failure
630,297.4,309.54,1550.0,71.54,198,6.29,5.81,1,Overstrain Failure
631,301.78,312.59,1566.0,48.73,116,5.04,1.6,0,No Failure
632,303.5,313.57,1818.1,58.5,130,3.01,2.32,1,Power Failure
633,299.86,312.66,1683.1,49.89,73,6.9,1.82,0,No Failure
634,300.06,312.69,1572.2,66.09,44,4.57,2.18,0,No Failure
635,296.02,309.61,1100.0,69.66,21,4.47,2.37,0,No Failure
636,299.25,313.7,1260.0,50.85,171,5.02,0.5,0,No Failure
637,300.06,310.46,1469.3,66.82,47,5.83,3.34,1,Power Failure
638,297.3,310.96,1523.3,55.75,166,5.43,2.33,0,No Failure
639,297.56,308.49,1217.4,76.46,94,6.16,7.09,1,Power Failure
640,298.58,312.88,2102.9,49.95,100,3.89,3.9,0,No Failure
641,295.19,309.29,1879.1,58.37,113,4.61,3.23,1,Power Failure
642,298.06,310.76,1650.5,49.41,88,5.36,6.82,0,No Failure
643,297.01,310.56,1518.0,55.75,24,7.78,6.36,0,No Failure
644,298.11,309.68,1446.9,58.47,74,5.36,7.31,0,No Failure
645,296.14,308.49,1262.0,75.33,159,6.8,1.69,1,Overstrain Failure
646,303.46,317.57,1519.4,78.39,160,5.55,0.9,1,Power Failure
647,300.64,312.94,1564.4,52.66,69,4.92,0.5,0,No Failure
648,301.45,313.24,1189.6,78.98,110,5.2,5.14,0,No Failure
649,302.5,314.97,1583.5,38.63,46,5.3,0.5,0,No Failure
650,299.74,313.88,1461.2,50.83,50,6.22,3.01,0,No Failure
651,295.83,307.5,1100.0,60.41,6,7.15,0.61,0,No Failure
652,300.1,310.97,1284.9,52.78,215,5.93,5.66,1,Tool Wear Failure
653,300.57,314.14,1396.6,48.23,51,6.92,3.68,0,No Failure
654,302.08,316.21,1971.9,56.69,55,4.34,5.64,1,Power Failure
655,299.1,309.6,1639.1,57.08,67,5.0,3.06,1,Power Failure
656,296.21,307.41,1166.1,72.47,31,4.63,1.13,0,No Failure
657,297.7,308.41,1621.5,66.47,153,5.88,1.78,1,Power Failure
658,298.45,310.19,1113.2,72.39,18,5.07,4.79,0,No Failure
659,301.14,313.39,1770.7,63.16,32,6.38,0.55,1,Power Failure
660,300.42,314.17,1382.2,63.66,155,4.38,1.66,1,Power Failure
661,298.38,311.64,1476.6,50.6,82,5.55,1.47,0,No Failure
662,304.37,317.48,1831.4,65.95,170,6.32,2.4,1,Power Failure
663,300.75,312.52,1178.2,62.54,134,3.02,3.99,0,No Failure
664,297.25,311.46,1150.7,59.63,61,8.05,5.54,0,No Failure
665,295.97,308.32,1354.1,63.14,156,5.16,0.72,0,No Failure
666,296.45,311.35,1759.6,47.68,28,3.07,1.2,0,No Failure
667,297.34,310.51,1120.2,65.42,129,5.69,0.81,0,No Failure
668,296.53,307.16,1100.0,73.44,105,5.54,2.47,0,No Failure
669,296.77,310.15,1387.2,67.74,64,5.4,0.91,1,Power Failure
670,297.71,309.33,1637.9,50.26,145,6.69,3.32,0,No Failure
671,296.65,310.08,1800.1,51.12,209,6.4,6.06,1,Tool Wear Failure
672,303.52,313.87,1384.2,75.06,240,5.86,0.5,1,Tool Wear Failure
673,295.76,306.64,1397.1,69.02,146,6.04,1.24,0,No Failure
674,299.98,314.26,1788.5,76.98,97,5.37,7.36,0,No Failure
675,298.9,310.03,1100.0,81.8,54,7.63,2.95,1,Power Failure
676,304.33,318.52,1402.9,75.39,62,3.72,1.69,0,No Failure
677,296.06,307.46,1547.6,47.17,115,5.67,12.61,1,Overstrain Failure
678,298.78,311.99,1612.3,67.39,88,5.58,2.04,1,Power Failure
679,304.21,317.68,1372.5,64.02,219,6.48,3.88,1,Tool Wear Failure
680,303.22,315.79,1508.6,56.32,88,4.49,1.29,0,No Failure
681,302.76,314.29,1100.0,71.68,90,3.41,1.09,0,No Failure
682,297.45,308.51,1335.4,74.74,92,5.69,4.04,1,Power Failure
683,296.62,306.79,1613.4,64.74,201,5.84,7.8,1,Tool Wear Failure
684,301.35,312.87,1254.4,58.13,156,7.29,1.75,0,No Failure
685,303.83,317.09,1514.7,69.13,147,3.98,1.02,1,Power Failure
686,300.29,314.98,1611.7,53.39,80,6.89,5.08,1,Power Failure
687,300.43,314.79,1414.4,65.88,196,8.34,1.76,1,Power Failure
688,297.66,311.49,1542.6,58.11,9,5.05,3.35,0,No Failure
689,302.31,316.25,1259.3,64.63,209,3.95,1.71,1,Tool Wear Failure
690,296.78,310.1,1448.3,70.7,123,5.01,1.95,0,No Failure
691,298.07,309.38,1652.6,48.55,96,5.52,1.2,0,No Failure
692,299.04,313.58,1539.2,80.67,119,6.18,4.12,0,No Failure
693,299.82,313.18,1353.4,46.72,160,4.79,3.42,0,No Failure
694,297.3,310.11,1556.1,54.9,3,7.37,3.34,0,No Failure
695,296.09,306.65,1678.7,62.13,209,4.16,1.41,1,Tool Wear Failure
696,300.8,313.04,1100.0,75.84,107,3.41,3.21,0,No Failure
697,297.74,310.04,1789.8,55.2,82,6.83,8.51,0,No Failure
698,300.52,314.84,1415.9,63.11,33,2.77,1.03,1,Power Failure
699,296.47,309.2,1606.4,63.98,105,5.26,1.3,1,Power Failure
700,299.57,311.47,1799.3,53.7,119,9.24,1.36,1,Power Failure
701,300.06,314.94,1157.1,82.79,97,5.49,2.76,1,Power Failure
702,295.49,306.05,1322.6,73.94,163,4.16,0.95,1,Power Failure
703,298.2,310.31,1427.9,72.17,101,5.43,3.68,1,Power Failure
704,296.28,306.49,1304.1,56.26,231,5.44,0.5,1,Tool Wear Failure
705,295.6,309.3,1933.7,52.53,144,5.69,4.48,0,No Failure
706,304.4,319.0,1285.8,63.28,194,6.29,3.29,1,Overstrain Failure
707,298.06,309.46,1361.1,54.72,26,4.25,8.38,0,No Failure
708,302.69,316.99,1551.1,64.58,95,7.53,1.07,1,Power Failure
709,297.42,308.88,1199.5,62.63,81,5.79,5.22,0,No Failure
710,301.47,316.03,1401.1,70.53,137,6.37,2.34,1,Power Failure
711,302.22,315.99,1579.4,49.71,207,4.75,1.99,1,Tool Wear Failure
712,300.66,314.68,1416.8,80.85,19,7.04,1.02,1,Power Failure
713,299.48,309.57,1476.7,53.5,17,5.19,1.73,0,No Failure
714,298.91,313.73,1367.7,66.84,204,5.83,1.79,1,Tool Wear Failure
715,298.31,311.95,1121.4,77.49,51,4.38,0.62,0,No Failure
716,303.83,315.35,1580.4,54.69,161,4.3,3.27,1,Power Failure
717,302.89,317.04,1938.7,61.75,130,6.33,2.96,1,Power Failure
718,304.17,315.58,1504.6,49.62,200,4.97,3.87,0,No Failure
719,296.18,310.54,1556.3,75.39,30,4.48,1.54,1,Power Failure
720,301.94,312.51,1673.2,58.68,31,4.73,4.6,1,Power Failure
721,303.91,317.43,1182.7,62.38,134,6.34,6.28,0,No Failure
722,296.72,309.43,1925.6,50.5,227,4.75,2.11,1,Tool Wear Failure
723,295.63,306.11,1550.6,69.08,100,5.36,1.09,0,No Failure
724,302.04,313.25,1908.0,48.0,78,5.52,2.65,1,Power Failure
725,300.46,310.52,1316.7,58.17,146,3.2,2.56,0,No Failure
726,303.0,315.34,1954.5,50.69,223,3.73,2.2,1,Tool Wear Failure
727,296.33,307.83,1693.8,46.35,201,5.9,3.88,1,Tool Wear Failure
728,302.56,315.55,1638.3,77.44,239,4.62,1.91,1,Tool Wear Failure
729,296.92,308.4,1558.5,55.17,5,6.77,1.01,1,Power Failure
730,296.55,308.05,1437.9,71.56,27,6.66,2.84,1,Power Failure
731,296.56,310.28,1800.1,58.09,146,6.36,4.01,1,Power Failure
732,302.74,312.98,1535.1,51.45,197,7.68,4.25,0,No Failure
733,301.32,315.83,1100.0,69.94,68,5.4,1.81,0,No Failure
734,299.97,314.23,1220.7,75.43,57,6.28,3.15,0,No Failure
735,298.41,311.75,1453.5,61.05,189,4.8,6.36,1,Power Failure
736,303.33,316.3,1577.5,72.38,14,8.44,5.33,0,No Failure
737,298.73,313.19,1485.9,72.5,89,7.88,0.57,1,Power Failure
738,302.76,313.68,1804.7,65.09,121,5.51,1.93,0,No Failure
739,299.17,309.57,1100.0,65.4,134,5.96,6.08,0,No Failure
740,298.58,309.78,1535.9,50.48,175,7.13,0.57,0,No Failure
741,299.4,313.37,1100.0,63.86,85,5.32,2.4,0,No Failure
742,297.86,308.04,1689.9,60.16,147,4.71,1.52,0,No Failure
743,302.1,315.02,1476.4,67.93,140,6.55,3.2,1,Power Failure
744,299.78,314.75,1604.9,38.19,131,5.59,0.5,0,No Failure
